date,strategy_net,benchmark_net
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0
2018-01-04,1.0,1.0
2018-01-05,1.0,1.0
2018-01-08,1.0,1.0
2018-01-09,1.0,1.0
2018-01-10,1.0,1.0
2018-01-11,1.0,1.0
2018-01-12,1.0,1.0
2018-01-15,1.0,1.0
2018-01-16,1.0,1.0
2018-01-17,1.0,1.0
2018-01-18,1.0,1.0
2018-01-19,1.0,1.0
2018-01-22,1.0,1.0
2018-01-23,1.0,1.0
2018-01-24,1.0,1.0
2018-01-25,1.0,1.0
2018-01-26,1.0,1.0
2018-01-29,1.0,1.0
2018-01-30,1.0,1.0
2018-01-31,1.0,0.999
2018-02-01,1.0,1.017962715687734
2018-02-02,1.0,1.0197215877830148
2018-02-05,1.0,1.0316401359843712
2018-02-06,1.0,1.036341895101227
2018-02-07,1.0,1.0424076176825998
2018-02-08,1.0,1.0508010530123024
2018-02-09,1.0,1.0515633788137944
2018-02-12,1.0,1.0635616704540234
2018-02-13,1.0,1.0495099882779635
2018-02-14,1.0,1.0433109338819437
2018-02-15,1.0,1.0301522660287632
2018-02-16,1.0,1.0415751607336818
2018-02-19,1.0,1.0394064480174654
2018-02-20,1.0,1.0432841012208158
2018-02-21,1.0,1.0268733857881913
2018-02-22,1.0,1.0143631309232022
2018-02-23,1.0,0.9991100353330904
2018-02-26,1.0,1.0098524233655293
2018-02-27,1.0,1.0130132667675147
2018-02-28,1.0,1.0026848316104044
2018-03-01,1.0,1.0212378047533752
2018-03-02,1.0,1.0404009684514746
2018-03-05,1.0,1.0405339624834289
2018-03-06,1.0,1.0485591081703676
2018-03-07,1.0,1.0657549416945404
2018-03-08,1.0,1.0557615139375622
2018-03-09,1.0,1.0571114094386533
2018-03-12,1.0,1.0619550478845647
2018-03-13,1.0,1.0657180833770799
2018-03-14,1.0,1.0571741016532767
2018-03-15,1.0,1.0548762742142626
2018-03-16,1.0,1.0572597024030486
2018-03-19,1.0,1.0632793583586064
2018-03-20,1.0,1.063077880256608
2018-03-21,1.0,1.0582173457554669
2018-03-22,1.0,1.0763381930701066
2018-03-23,1.0,1.098776627730586
2018-03-26,1.0,1.1086962825895765
2018-03-27,1.0,1.11091748258475
2018-03-28,1.0,1.1207339000267618
2018-03-29,1.0,1.1270099050878388
2018-03-30,1.0,1.139925450617174
2018-04-02,1.0,1.1408395550299844
2018-04-03,1.0,1.1416376923400846
2018-04-04,1.0,1.1528025713094094
2018-04-05,1.0,1.1544889033996482
2018-04-06,1.0,1.1252133514176823
2018-04-09,1.0,1.1102103839051651
2018-04-10,1.0,1.10354888167734
2018-04-11,1.0,1.1005277367887585
2018-04-12,1.0,1.093401728117954
2018-04-13,1.0,1.0755467998854262
2018-04-16,1.0,1.1031494874450554
2018-04-17,1.0,1.1203174496964354
2018-04-18,1.0,1.1192535852849597
2018-04-19,1.0,1.1143103917222328
2018-04-20,1.0,1.111512924884404
2018-04-23,1.0,1.1123994984786378
2018-04-24,1.0,1.1088185912572177
2018-04-25,1.0,1.1323024948735412
2018-04-26,1.0,1.128697199611947
2018-04-27,1.0,1.1176045621077186
2018-04-30,1.0,1.1146580765620433
